Time,Area,Trend,Seasonal,resid,Year
1987_1,4392,4455,-59,-4,1987
1987_4,4412,4448,-42,6,1987
1987_7,4501,4442,64,-5,1987
1987_10,4451,4434,19,-2,1987
1988_1,4406,4426,-35,15,1988
1988_4,4383,4418,-40,4,1988
1988_7,4449,4413,59,-23,1988
1988_10,4403,4414,-3,-8,1988
1989_1,4392,4428,-11,-26,1989
1989_4,4395,4448,-35,-18,1989
1989_7,4567,4464,52,51,1989
1989_10,4474,4470,-25,28,1989
1990_1,4484,4467,11,6,1990
1990_4,4402,4456,-30,-24,1990
1990_7,4482,4453,47,-19,1990
1990_10,4383,4460,-44,-33,1990
1991_1,4531,4466,33,32,1991
1991_4,4490,4467,-27,50,1991
1991_7,4488,4461,34,-8,1991
1991_10,4385,4450,-51,-14,1991
1992_1,4457,4442,51,-36,1992
1992_4,4415,4445,-33,3,1992
1992_7,4484,4457,30,-2,1992
1992_10,4424,4465,-43,2,1992
1993_1,4568,4467,48,53,1993
1993_4,4397,4465,-44,-24,1993
1993_7,4483,4459,35,-10,1993
1993_10,4428,4450,-25,3,1993
1994_1,4484,4448,34,2,1994
1994_4,4384,4446,-49,-14,1994
1994_7,4504,4441,38,25,1994
1994_10,4426,4435,-11,2,1994
1995_1,4423,4426,11,-15,1995
1995_4,4388,4415,-41,14,1995
1995_7,4432,4405,38,-11,1995
1995_10,4412,4399,6,7,1995
1996_1,4367,4393,-9,-17,1996
1996_4,4358,4388,-37,7,1996
1996_7,4429,4389,29,12,1996
1996_10,4374,4395,25,-47,1996
1997_1,4401,4407,-14,8,1997
1997_4,4391,4425,-37,3,1997
1997_7,4445,4437,23,-16,1997
1997_10,4551,4437,23,91,1997
1998_1,4398,4431,-8,-25,1998
1998_4,4353,4423,-36,-34,1998
1998_7,4436,4418,24,-7,1998
1998_10,4417,4425,16,-24,1998
1999_1,4457,4431,-5,30,1999
1999_4,4433,4429,-35,39,1999
1999_7,4456,4423,32,1,1999
1999_10,4376,4412,0,-36,1999
2000_1,4400,4404,-1,-4,2000
2000_4,4362,4404,-30,-12,2000
2000_7,4462,4406,38,18,2000
2000_10,4417,4404,-9,22,2000
2001_1,4388,4397,0,-9,2001
2001_4,4354,4386,-34,3,2001
2001_7,4408,4377,41,-10,2001
2001_10,4356,4375,-1,-18,2001
2002_1,4375,4377,-1,0,2002
2002_4,4349,4383,-40,6,2002
2002_7,4428,4389,42,-3,2002
2002_10,4405,4389,2,14,2002
2003_1,4399,4384,-9,25,2003
2003_4,4316,4378,-38,-24,2003
2003_7,4414,4372,51,-8,2003
2003_10,4371,4367,5,-1,2003
2004_1,4345,4364,-24,5,2004
2004_4,4339,4359,-39,19,2004
2004_7,4409,4352,62,-5,2004
2004_10,4347,4351,8,-11,2004
2005_1,4280,4358,-34,-44,2005
2005_4,4333,4372,-36,-3,2005
2005_7,4490,4388,64,37,2005
2005_10,4418,4401,7,10,2005
2006_1,4376,4405,-40,11,2006
2006_4,4359,4407,-27,-20,2006
2006_7,4453,4409,63,-19,2006
2006_10,4426,4412,-2,17,2006
2007_1,4401,4414,-32,19,2007
2007_4,4398,4412,-19,5,2007
2007_7,4452,4402,55,-5,2007
2007_10,4385,4395,-18,8,2007
2008_1,4329,4390,-16,-45,2008
2008_4,4405,4385,-17,37,2008
2008_7,4446,4387,55,4,2008
2008_10,4316,4392,-25,-50,2008
2009_1,4425,4393,-12,43,2009
2009_4,4363,4401,-22,-16,2009
2009_7,4455,4411,59,-15,2009
2009_10,4410,4418,-23,15,2009
2010_1,4428,4428,-6,6,2010
2010_4,4383,4432,-33,-16,2010
2010_7,4525,4426,51,49,2010
2010_10,4412,4417,-8,3,2010
2011_1,4366,4407,-1,-40,2011
2011_4,4375,4399,-37,13,2011
2011_7,4406,4402,32,-29,2011
2011_10,4417,4413,16,-12,2011
2012_1,4448,4428,-11,31,2012
2012_4,4390,4442,-26,-27,2012
2012_7,4498,4451,6,41,2012
2012_10,4476,4444,37,-5,2012
2013_1,4455,4419,-24,59,2013
2013_4,4392,4387,-18,23,2013
2013_7,4257,4349,-1,-91,2013
2013_10,4419,4324,43,52,2013
2014_1,4181,4325,-24,-120,2014
2014_4,4335,4343,-14,6,2014
2014_7,4417,4369,-5,53,2014
2014_10,4423,4399,43,-20,2014
2015_1,4424,4417,-21,28,2015
2015_4,4403,4423,-28,8,2015
2015_7,4429,4431,6,-8,2015
2015_10,4445,4436,38,-29,2015
2016_1,4475,4437,4,34,2016
2016_4,4400,4437,-60,23,2016
2016_7,4426,4430,14,-18,2016
2016_10,4474,4419,38,17,2016
2017_1,4410,4416,28,-34,2017
2017_4,4304,4424,-86,-35,2017
2017_7,4470,4438,15,17,2017
2017_10,4506,4454,44,8,2017
2018_1,4535,4471,34,30,2018
2018_4,4351,4484,-99,-34,2018
2018_7,4517,4496,21,0,2018
2018_10,4551,4510,41,0,2018
2019_1,4555,4527,32,-4,2019
2019_4,4481,4541,-86,25,2019
2019_7,4564,4551,19,-6,2019
2019_10,4585,4554,28,2,2019
2020_1,4613,4556,28,29,2020
2020_4,4444,4560,-64,-53,2020
2020_7,4598,4564,15,19,2020
2020_10,4595,4572,16,7,2020
2021_1,4578,4580,21,-24,2021
2021_4,4583,4588,-40,36,2021
2021_7,4594,4595,10,-11,2021
2021_10,4599,4602,3,-6,2021
